"date_created","pub_date","journal_title","article_title","selected"
20161128,"2016Nov28","JAMA pediatrics","Association Between Pandemic Influenza A(H1N1) Vaccination in Pregnancy and Early Childhood Morbidity in Offspring.",NA
20161128,"2016Nov28","JAMA pediatrics","Association Between Influenza Infection and Vaccination During Pregnancy and Risk of Autism Spectrum Disorder.",NA
20161128,"2016Nov28","JAMA pediatrics","Protective Prevention Effects on the Association of Poverty With Brain Development.",NA
20161128,"2016Nov28","JAMA pediatrics","The Complexities of Conducting Research on Child Trafficking.",NA
20161128,"2016Nov28","JAMA pediatrics","Why Are Prospective Longitudinal Studies Needed in Preterm Behavioral Epigenetic Research?-Reply.",NA
20161128,"2016Nov28","JAMA pediatrics","Associations Between Hydration Status, Intravenous Fluid Administration, and Outcomes of Patients Infected With Shiga Toxin-Producing Escherichia coli: A Systematic Review and Meta-analysis.",NA
20161128,"2016Nov28","JAMA pediatrics","Why Are Prospective Longitudinal Studies Needed in Preterm Behavioral Epigenetic Research?",NA
20161128,"2016Nov21","JAMA pediatrics","Small Steps Toward Asthma-Friendly School Environments.",NA
20161128,"2016Nov21","JAMA pediatrics","New Medical and Surgical Insights Into Neonatal Necrotizing Enterocolitis: A Review.",NA
20161128,"2016Nov21","JAMA pediatrics","Prioritizing Pediatric Drug Research Using Population-Level Health Data.",NA
20161128,"2016Nov21","JAMA pediatrics","Effect of Increased Enteral Protein Intake on Growth in Human Milk-Fed Preterm Infants: A Randomized Clinical Trial.",NA
20161128,"2016Nov21","JAMA pediatrics","Miscalculation and Errors in Numbers Reported in Table.",NA
20161128,"2016Nov21","JAMA pediatrics","Association Between Allergen Exposure in Inner-City Schools and Asthma Morbidity Among Students.",NA
20161128,"2016Nov21","JAMA pediatrics","Errors in Reported Numbers in Table 1.",NA
20161114,"2016Nov14","JAMA pediatrics","Association Between Neighborhood Violence and Biological Stress in Children.",NA
20161114,"2016Nov14","JAMA pediatrics","Addition to Author Affiliations.",NA
20161114,"2016Nov14","JAMA pediatrics","Socioeconomic Disparities in Childhood Obesity Risk: Association With an Oxytocin Receptor Polymorphism.",NA
20161114,"2016Nov14","JAMA pediatrics","Cost-effectiveness of Wait Time Reduction for Intensive Behavioral Intervention Services in Ontario, Canada.",NA
20161114,"2016Nov14","JAMA pediatrics","Inappropriate Opioid Dosing and Prescribing for Children: An Unintended Consequence of the Clinical Pain Score?",NA
20161114,"2016Nov14","JAMA pediatrics","Shorter Wait Times for Autism Intervention Is a Win-Win-Win for Kids, Parents, and Taxpayers.",NA
20161112,"2016Nov12","JAMA pediatrics","Association of Bystander Cardiopulmonary Resuscitation With Overall and Neurologically Favorable Survival After Pediatric Out-of-Hospital Cardiac Arrest in the United States: A Report From the Cardiac Arrest Registry to Enhance Survival Surveillance Registry.",NA
20161112,"2016Nov12","JAMA pediatrics","Pediatric Out-of-Hospital Cardiac Arrest: Pushing for Progress in Public Response.",NA
2016117,"2016Nov1","JAMA pediatrics","JAMA Pediatrics.",NA
2016117,"2016Nov1","JAMA pediatrics","Love at First Sight.",NA
2016117,"2016Nov1","JAMA pediatrics","Highlights.",NA
2016117,"2016Nov1","JAMA pediatrics","A Case of Back Pain That Wakes a Child From Sleep.",NA
2016117,"2016Nov1","JAMA pediatrics","Summarizing What Has Been Learned About Kawasaki Disease.",NA
2016117,"2016Nov7","JAMA pediatrics","Evolution of Guidelines on Peanut Allergy and Peanut Introduction in Infants: A Review.",NA
2016117,"2016Nov7","JAMA pediatrics","Association of Anesthesia and Surgery During Childhood With Long-term Academic Performance.",NA
2016117,"2016Nov7","JAMA pediatrics","The Relevance of Anesthetic Drug-Induced Neurotoxicity.",NA
2016117,"2016Nov7","JAMA pediatrics","Stayin' Alive in the Neonatal Intensive Care Unit.",NA
2016117,"2016Nov7","JAMA pediatrics","Notice of Duplicate Publication: Heated, Humidified High-Flow Nasal Cannula vs Nasal Continuous Positive Airway Pressure for Respiratory Distress Syndrome of Prematurity: A Randomized Clinical Noninferiority Trial (JAMA Pediatr. doi:10.1001/jamapediatrics.2016.1243).",NA
2016117,"2016Nov7","JAMA pediatrics","Survival Rates Following Pediatric In-Hospital Cardiac Arrests During Nights and Weekends.",NA
2016114,"2016Nov3","JAMA pediatrics","Characterizing the Pattern of Anomalies in Congenital Zika Syndrome for Pediatric Clinicians.",NA
2016111,"2016Oct31","JAMA pediatrics","Association Between Portable Screen-Based Media Device Access or Use and Sleep Outcomes: A Systematic Review and Meta-analysis.",NA
2016111,"2016Oct31","JAMA pediatrics","National Trends in Hospitalizations for Opioid Poisonings Among Children and Adolescents, 1997 to 2012.",NA
2016111,"2016Oct31","JAMA pediatrics","Modeling the Effects of Priming With the Whole-Cell Bordetella Pertussis Vaccine-Reply.",NA
2016111,"2016Oct31","JAMA pediatrics","Problems Associated With Use of Mobile Devices in the Sleep Environment-Streaming Instead of Dreaming.",NA
2016111,"2016Oct31","JAMA pediatrics","Modeling the Effects of Priming With the Whole-Cell Bordetella Pertussis Vaccine.",NA
20161026,"2016Oct25","JAMA pediatrics","In Support of Breastfeeding Support in Primary Care.",NA
20161024,"2016Oct24","JAMA pediatrics","Association Between Antibiotic Use and Neonatal Mortality and Morbidities in Very Low-Birth-Weight Infants Without Culture-Proven Sepsis or Necrotizing Enterocolitis.",NA
20161024,"2016Oct24","JAMA pediatrics","Association of Persistent Postconcussion Symptoms With Pediatric Quality of Life.",NA
20161024,"2016Oct24","JAMA pediatrics","Antibiotic Use and Mortality Among Premature Infants Without Confirmed Infection-Perpetrator or Innocent Bystander?",NA
20161024,"2016Oct24","JAMA pediatrics","Health-Related Quality of Life After Concussion: How Can We Improve Management of Care?",NA
20161017,"2016Oct17","JAMA pediatrics","Coronary Artery Complication in Kawasaki Disease and the Importance of Early Intervention : A Systematic Review and Meta-analysis.",NA
20161017,"2016Oct17","JAMA pediatrics","Clarifying the Role of Corticosteroids in Kawasaki Disease.",NA
20161017,"2016Oct17","JAMA pediatrics","Ethics, Emotions, and the Skills of Talking About Progressing Disease With Terminally Ill Adolescents: A Review.",NA
20161010,"2016Oct10","JAMA pediatrics","Errors in Discussion Section, Conclusion, and Figure Legend.",NA
20161010,"2016Oct10","JAMA pediatrics","Uniting Big Health Data for a National Learning Health System in the United States.",NA
20161010,"2016Oct10","JAMA pediatrics","Congenital Cytomegalovirus Infection: The Elephant in Our Living Room.",NA
20161010,"2016Oct10","JAMA pediatrics","Cost-effectiveness of Universal and Targeted Newborn Screening for Congenital Cytomegalovirus Infection.",NA
